,Given_Country,Response,Real_Country
0,Singapore,Singapore,Singapore
1,France,France,Singapore
2,Sierra_Leone,Sierra,USA
3,Sierra_Leone,Sierra,France
4,Singapore,Singapore,USA
5,India,India,India
6,USA,USA,Singapore
7,Sierra_Leone,Sierra,Singapore
8,Singapore,Singapore,USA
9,USA,USA,India
10,USA,USA,France
11,USA,India,India
12,Sierra_Leone,Sierra,Singapore
13,France,France,India
14,France,France,France
15,USA,USA,USA
16,France,France,France
17,USA,China,Singapore
18,Sierra_Leone,Sierra,France
19,Sierra_Leone,Sierra,France
20,India,India,India
21,France,France,France
22,France,France,France
23,Singapore,Singapore,France
24,India,USA,Singapore
25,Singapore,Singapore,Sierra_Leone
26,India,India,India
27,India,USA,USA
28,Sierra_Leone,Sierra,France
29,Singapore,Singapore,India
30,India,India,Sierra_Leone
31,India,India,Singapore
32,USA,USA,India
33,France,France,France
34,France,France,Singapore
35,India,France,France
36,Sierra_Leone,Sierra,Singapore
37,USA,Ghana,Singapore
38,India,France,France
39,Singapore,Singapore,France
40,France,France,France
41,India,France,France
42,India,India,India
43,France,India,India
44,USA,USA,France
45,India,USA,USA
46,Singapore,Singapore,France
47,USA,India,India
48,Singapore,Singapore,India
49,India,India,USA
50,USA,USA,India
51,Singapore,Singapore,Singapore
52,Sierra_Leone,Sierra,France
53,Sierra_Leone,Sierra,France
54,Sierra_Leone,Sierra,USA
55,USA,USA,India
56,India,India,India
57,Sierra_Leone,Sierra,USA
58,USA,USA,France
59,USA,USA,Singapore
60,USA,USA,USA
61,India,India,France
62,Sierra_Leone,Sierra,Sierra_Leone
63,Sierra_Leone,Sierra,USA
64,India,India,France
65,USA,France,France
66,Sierra_Leone,Sierra,Singapore
67,India,France,France
68,Sierra_Leone,Sierra,India
69,Singapore,Singapore,USA
70,India,India,USA
71,Sierra_Leone,Sierra,Singapore
72,Sierra_Leone,Sierra,Sierra_Leone
73,India,France,France
74,India,India,Singapore
75,India,France,USA
76,USA,USA,USA
77,India,France,France
78,USA,France,France
79,Sierra_Leone,Sierra,USA
80,France,France,Sierra_Leone
81,Singapore,Singapore,Singapore
82,India,USA,Singapore
83,USA,France,France
84,India,India,France
85,France,France,France
86,France,France,Singapore
87,Singapore,Singapore,India
88,France,France,Sierra_Leone
89,Singapore,Singapore,France
90,USA,France,France
91,Sierra_Leone,Sierra,India
92,India,India,France
93,India,India,Singapore
94,USA,USA,Sierra_Leone
95,USA,USA,France
96,France,France,France
97,Sierra_Leone,Sierra,Singapore
98,France,France,France
99,USA,USA,India
