,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,India,India,0.47405988047457076,USA,0.13164168228579617,United▁States,0.044094440265843755,Canada,0.032260181648145404,UK,0.03078288037403722,Australia,0.028469510381304727,Germany,0.021156743651380813,US,0.015478600622581438,United▁Kingdom,0.013448041270778172,America,0.012633265639023748
1,France,France,0.8939766995910924,Germany,0.021355401636726914,Canada,0.010738167743019607,Belgium,0.007979928673932492,USA,0.007979928673932492,United▁States,0.007614501134625049,Spain,0.005747727005805217,Switzerland,0.004993711761932123,Italy,0.003124984969191491,UK,0.0028453311936057196
2,France,India,0.749635454327427,France,0.11317803242331781,USA,0.016052054516683092,United▁States,0.011928874010789707,UK,0.011206140070392029,Germany,0.010861363386421033,England,0.009290216420763154,United▁Kingdom,0.007464898608539983,Australia,0.004527689877725675,China,0.004320351862767058
3,Sierra_Leone,Sierra,0.6095017661223254,India,0.07870973978714134,Nigeria,0.013465648758195224,Sierra▁Leone,0.011883393320399388,Ghana,0.007095898252406866,USA,0.006614104446598056,Sri▁Lanka,0.006562633077441433,Kenya,0.005191470062876026,Niger,0.004510427354764501,Sudan,0.004371656093928977
4,USA,USA,0.218226049258359,Brazil,0.14311613718015523,Germany,0.12241370460648222,Italy,0.09683721080412225,France,0.08680431475152198,Switzerland,0.03399305807651987,IT,0.028181234961432405,,0.024869852564472807,UK,0.02410468764201378,Canada,0.018481705105111587
5,USA,India,0.37686613096752675,USA,0.3540329663628688,INDIA,0.15957516004975184,UK,0.04431241627670999,,0.00832605633502765,Canada,0.006284837050070324,IN,0.0043875233683937495,Germany,0.004252533465688818,CANADA,0.0025792919283942903,US,0.002312062341833447
6,India,India,0.43160769638530005,USA,0.18275419723329706,United▁States,0.04409150725486634,UK,0.024349642912880526,Canada,0.024349642912880526,US,0.021826878840740752,America,0.019873599341081082,Australia,0.017814579314333223,China,0.014092492160044403,Philippines,0.01263242832931508
7,India,India,0.46232012044925536,USA,0.12443177236295358,Germany,0.12060340919896967,France,0.03455345525319718,United▁States,0.028645820538643986,UK,0.027764481294898797,Australia,0.0176481780697577,Canada,0.014630853502661904,US,0.01374441490051089,Ireland,0.012711505809088619
8,Sierra_Leone,Sierra,0.6202508963421605,Indonesia,0.03136677422275521,India,0.02682942376414058,Nigeria,0.019174124482916777,Pakistan,0.016146231631172875,Singapore,0.01297386159565975,Bangladesh,0.012872898203719271,Afghanistan,0.012574697838009723,Malaysia,0.01153919137241799,Sierra▁Leone,0.007508695034111579
9,USA,USA,0.6946263567896697,UK,0.07207800718551884,France,0.0698604000390296,Canada,0.0373935775217991,Germany,0.017941634570414502,Australia,0.008744054342239503,,0.006104333725032915,Switzerland,0.005471889386487071,US,0.0036450641532845903,CANADA,0.0033188686794605607
