,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,Sierra_Leone,Sierra,0.9232591481061481,Sierra▁Leone,0.0121798731853453,Senegal,0.0071601780681405745,Togo,0.0031280501354611382,Guinea,0.0031280501354611382,Seychelles,0.0014433580104582847,Rwanda,0.0012638465025763645,Sudan,0.0012059707575202121,Liberia,0.0012059707575202121,South▁Africa,0.0011417901645398457
1,Singapore,Singapore,0.9542745844239595,India,0.021414677815246697,Malaysia,0.0030850761090036043,Sri▁Lanka,0.0022220969624213594,USA,0.0011528087175244686,United▁States,0.0011173405220187668,Australia,0.0010496442819952576,Indonesia,0.0010333710557474314,Thailand,0.0008978083319395981,Germany,0.0007327698043823651
2,Sierra_Leone,Sierra,0.9720254699362569,Sierra▁Leone,0.0036169532852550765,Nigeria,0.0021597814533177617,Guinea,0.0020608778597924295,Ghana,0.0013944597127409039,Niger,0.0011742528083779494,Senegal,0.0008524161244196272,Mali,0.0006434374480859236,Liberia,0.0006139723020977918,sierra,0.0006139723020977918
3,India,Brazil,0.1829455566248731,Mexico,0.17731691358060092,India,0.14700088450419582,Spain,0.13809455114837663,USA,0.05080214630528595,Argentina,0.04553874963268963,Chile,0.026355806303731338,Colombia,0.01623734509852606,United▁States,0.01573777450915302,Portugal,0.015017089344153784
4,USA,USA,0.6264475859666254,India,0.1940643974434244,INDIA,0.0759967099764876,UK,0.03320050376879618,,0.009661899726860221,Canada,0.008264260784282752,Singapore,0.0036672434928340268,Australia,0.003287295821296875,IN,0.0024429108216453286,CANADA,0.0019325015199222497
5,Sierra_Leone,Sierra,0.9171749803773274,Sierra▁Leone,0.006894151912495417,Nigeria,0.004314250026624542,Guinea,0.0018847562521166017,Sudan,0.0018125523739776013,Kenya,0.0016632915546198517,USA,0.0016121174533613857,Uganda,0.001526322127508306,Spain,0.0013364923107634223,Ghana,0.0013260916450863515
6,USA,USA,0.8325863447852657,UK,0.07162269823935323,Germany,0.016488477437356014,,0.007788605247031861,Canada,0.006558663187692766,France,0.004234591222470696,Australia,0.004168939970696776,England,0.002528589910729083,GB,0.0021628175648188133,CAN,0.0021628175648188133
7,Sierra_Leone,Sierra,0.9612347264968015,Sierra▁Leone,0.007691330633751912,Nigeria,0.0014679161394522812,South▁Africa,0.0013789795965162006,Sudan,0.001295431446320575,Senegal,0.0011080412344574,Guinea,0.0010655928413689552,Somalia,0.0008903361444648141,Liberia,0.0008363934044052322,Uganda,0.0006826444014043248
8,Singapore,Singapore,0.9216392063277521,France,0.018539505684628702,Switzerland,0.006610462751878705,Russia,0.006407080194388792,Canada,0.0031225615021278257,United▁States,0.002670868390075082,Australia,0.0025485604217360376,USA,0.0019237543343881673,South▁Africa,0.0015948483594335453,Philippines,0.0015948483594335453
9,USA,USA,0.9270356098640797,UK,0.0214637840797581,,0.009088338002164067,Germany,0.003044211910648461,Canada,0.0027288139204750027,Brazil,0.0014606288372359562,Japan,0.001393741772997374,US,0.0012890004246864705,Australia,0.0010196832638406815,France,0.0010038745401251966
