,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,Sierra_Leone,Sierra,0.9491278108808983,Sierra▁Leone,0.004260103763047504,USA,0.00283784090268798,Willie,0.0019811322357495015,Nigeria,0.0018322477970572932,United▁States,0.00157949632963723,sierra,0.0013510148050544291,Liberia,0.0011376685281764872,,0.0009961758482710202,,
1,USA,USA,0.9084663098636223,UK,0.009480698030405275,Canada,0.006414961172611049,Italy,0.004918521343802546,France,0.0036551346974695175,Australia,0.0035984670864335814,United▁States,0.0034336812811456468,US,0.002891449534626487,England,0.002591878611617085,Brazil,0.002182580615888758
2,USA,USA,0.3039898850758207,France,0.15526284083346073,Brazil,0.10342734940088244,Germany,0.10024522439313226,Italy,0.07566906528221068,Switzerland,0.031054521820794503,Canada,0.02418528591194279,Belgium,0.013461142025504018,,0.008423767430576773,UK,0.007376097218091297
3,USA,USA,0.751371896382053,France,0.04955834691427117,UK,0.04879001596097794,Canada,0.027368718509435213,England,0.009025247605747874,Germany,0.0077197033673689465,Australia,0.006300638260034991,,0.005182763661495346,US,0.004906942010764905,Ireland,0.004718960014375437
4,USA,USA,0.8311856267143555,UK,0.015463433191602049,Canada,0.014526551136134443,Germany,0.014079616143461596,China,0.007477627689108981,Australia,0.005556901050284083,France,0.005470749284796291,US,0.00522022543539879,England,0.00522022543539879,,0.0042606238269866795
5,India,India,0.8412824251513235,USA,0.040596315851704166,United▁States,0.019176341772854908,Canada,0.011631041999420794,France,0.01127319245742882,Australia,0.004484166149313676,America,0.0036885744604930504,US,0.003575088954950515,China,0.0035196623381261714,Raymond,0.0023082509156124326
6,France,France,0.9692800480103627,Germany,0.006738271510153136,United▁States,0.0019918292538206902,USA,0.0018711504199331748,Canada,0.0011709360123590966,,0.0008701657567641019,Switzerland,0.0007327530328044865,Italy,0.0006218794219228297,America,0.0006170399178667421,,
7,France,France,0.9501997950082071,Germany,0.0068153143553435856,Canada,0.0028410457069124586,USA,0.002732206955069153,United▁States,0.002689848012426977,Gerald,0.0020785534417289146,,0.0011389533094697947,Belgium,0.0016061816095791046,England,0.0015936822051280987,,
8,India,India,0.682622169800073,USA,0.04432578289499783,United▁States,0.033985756637255865,UK,0.02061340339402781,Germany,0.019979195645159223,Australia,0.01735822185001228,United▁Kingdom,0.015559809503838689,England,0.013102673272500158,US,0.011207310358868865,Canada,0.008072322829467947
9,India,India,0.5771723769182542,USA,0.1308126110993705,United▁States,0.06276457672921083,US,0.021354571734357102,UK,0.01770356177405417,Canada,0.015142658840135539,Germany,0.014449226005754589,America,0.014004670057237226,Australia,0.012952202481920368,France,0.01275139719482321
10,Singapore,Singapore,0.9424904527534079,France,0.016216445879653277,Switzerland,0.003193207524020677,Australia,0.002486872520216805,Canada,0.001998258207881208,Malaysia,0.001643722365682048,Philippines,0.0014280907396205422,Belgium,0.0014169772493148405,Sing,0.0011385732062283065,,0.0009738732717448124
11,France,France,0.9220074336517965,Morocco,0.008359747713249259,Egypt,0.0081025453155188,Iran,0.004011050787653018,Germany,0.0030276999801096983,Lebanon,0.002980759842739344,Algeria,0.0026305113285660167,Iraq,0.0022151126252096917,Afghanistan,0.0021136752328475964,Jordan,0.001939617422634542
12,Sierra_Leone,Sierra,0.87848366371437,Sierra▁Leone,0.008154008873104553,Germany,0.007482539147361342,Nigeria,0.006551930195600408,USA,0.005965600330132885,Norway,0.003912336213347701,France,0.0036752997449370404,United▁States,0.002688906734459545,Ghana,0.0026266182770441795,,0.0023361626557850076
13,France,France,0.8341121157768939,United▁States,0.031840620680266433,USA,0.02723472611743398,Canada,0.011713509742408286,England,0.009710840652546269,Australia,0.0079257571490586,America,0.007802879673818337,Germany,0.0038028198392989175,Ireland,0.0036858193729745006,United▁Kingdom,0.003177374905659105
14,Sierra_Leone,Sierra,0.8906127978095505,USA,0.009079073034999165,Sierra▁Leone,0.004322286733846179,Ben,0.003555416085515275,Nigeria,0.003527747618027272,United▁States,0.0033400043144702035,UK,0.0030174424409995172,England,0.0027906780605066114,,0.002560870138895592,,
15,India,India,0.9743416406824061,Pra,0.0030530373019694167,Nepal,0.0021990202754046274,USA,0.0016599075894521865,Bangladesh,0.0012144143350503653,,0.0007779830293738309,india,0.0007840848258981768,INDIA,0.0006399513838898545,Indian,0.0005182484242531214,,
16,Sierra_Leone,Sierra,0.7855552908754447,USA,0.019210428832243012,United▁States,0.010202581738874072,UK,0.007178412798491925,England,0.006957556255088713,,0.006092239815595161,Sierra▁Leone,0.005334543424435411,Andrew,0.0051301802751355565,Nigeria,0.0049336461551393995,Canada,0.004857157061180171
17,USA,USA,0.9028268990163418,Germany,0.018737576178919538,UK,0.007453292857280028,France,0.007337740261950047,Canada,0.00545294554150244,China,0.003205621313036996,US,0.0031559227610735217,United▁States,0.002575789087723993,England,0.002308922415749827,,0.002290954238958154
18,Sierra_Leone,Sierra,0.8457124288433002,USA,0.009845893284357666,Thomas,0.006873541274605834,Germany,0.006820050952036087,Sierra▁Leone,0.006356986490411805,Nigeria,0.004136570003212221,France,0.0041043789600563995,United▁States,0.003978100494972117,England,0.003947142671313289,,0.003429336982054524
19,India,China,0.714240603159906,India,0.21112910643338517,Taiwan,0.02058051645704941,USA,0.004737903911724469,,0.00459213393299883,Japan,0.0023454325124906673,Jing,0.0019293001588951485,Singapore,0.0016893516650560271,Chin,0.0016373757784902507,Thailand,0.0014792457436285694
20,USA,USA,0.8615121109871234,Canada,0.01679681537801127,France,0.01628003169773186,Germany,0.013925049041071672,UK,0.005203410664538782,United▁States,0.0047749180315013505,US,0.004116236634142984,China,0.0037187099020350224,Australia,0.0034662187680488993,,0.00323087115276175
21,USA,USA,0.48815461405934485,India,0.3922432518471549,INDIA,0.023556039627905857,UK,0.012031247784780808,,0.0063400220563708245,Canada,0.00559504982706527,Singapore,0.0036981021194648495,Germany,0.0032891601129401015,Australia,0.0030183029832347094,France,0.0027481961400194705
22,India,India,0.9853575535988339,USA,0.0013279412336828747,Raj,0.0010504879792260222,United▁States,0.0006471868694600976,INDIA,0.0005200292590063438,,0.0003491311282613457,india,0.0004518092499219212,Indian,0.00042443551127661113,China,0.00033055070854553684,,
23,USA,China,0.6423029317675705,USA,0.29406770176300995,,0.012137625071829585,CHINA,0.006296916934534487,china,0.003423574354313112,Canada,0.0021424180866215082,Japan,0.0019659933478901022,UK,0.0018182466145871142,Xiao,0.0016045970055080549,Singapore,0.0014840096362344006
24,India,India,0.8567318881092212,USA,0.03427359027631161,United▁States,0.015208813491934333,France,0.006241684480866766,US,0.005094314402474146,Canada,0.0045665139171558325,America,0.003501267671610918,Ireland,0.002994792942564938,Italy,0.0025218684994528402,UK,0.002157068437090768
25,France,France,0.9833428777403478,,0.0009108133717375465,Germany,0.000925156595292526,Canada,0.0006875180030086354,Henri,0.0004952006408000428,Belgium,0.00039790489338812246,French,0.00039790489338812246,Guy,0.0003856626468325348,Paris,0.0003147688286893883,,
26,Singapore,Singapore,0.9031939491575735,Frank,0.013292330227532645,United▁States,0.008582173424199379,USA,0.0074563214864032615,Jordan,0.004666046756662298,Australia,0.0034947075456722527,Germany,0.0033087226026912065,China,0.0029199374483866304,France,0.00255678265901158,Canada,0.0021362718727862373
27,Singapore,Singapore,0.9284117771212874,France,0.018675738132540896,Switzerland,0.005607474802271217,Sing,0.0018930002301863554,Germany,0.0018204805302071247,Belgium,0.001792256595626631,Brazil,0.0014067583202399339,Australia,0.0014067583202399339,Philippines,0.00124145986029685,Canada,0.0012032641558680662
28,France,France,0.8758011278637812,United▁States,0.03395849343298381,USA,0.024459385259772478,Canada,0.00638061339333576,Germany,0.0052077048761324015,America,0.004668156480830708,US,0.004250404844339716,England,0.0017039545165601008,Australia,0.0016515293474861218,,0.0014126279102833308
29,India,India,0.49236421335733466,USA,0.1573690453116403,United▁States,0.10160509221082473,Canada,0.026094345779890102,America,0.025291507161787023,Australia,0.018795052194869096,US,0.018216789230984687,Ireland,0.015581645547266926,United▁States▁of▁America,0.009599573343240355,UK,0.008020743746690137
30,USA,Japan,0.6443314025975709,USA,0.2771234913122331,JAPAN,0.01945712299514656,JP,0.006027534081753449,,0.0054881322350078055,UK,0.004341469934847532,Germany,0.0033287204650894534,Canada,0.0030072483326051627,Har,0.0018966477493383006,US,0.001622288789944655
31,Singapore,Singapore,0.9815648149120311,United▁States,0.0033779639265614433,USA,0.0017800619007378145,Australia,0.0008675328845604727,Sing,0.0007655950835148965,Malaysia,0.0007305359321231517,Canada,0.0004716694480779394,China,0.00046074323708139597,,0.00043282821551722956,Philippines,0.00035051497084144485
32,Singapore,Singapore,0.9868891378030985,Malaysia,0.0026040237814204145,,0.0004120163924000065,Sing,0.0006481927695179201,China,0.0006089207549063787,Indonesia,0.0005048130364817789,Australia,0.0004454959410794942,Hong▁Kong,0.0002967641332362428,Thailand,0.00028317431415459125,,
33,Sierra_Leone,Sierra,0.7573654823120011,USA,0.04619959353533449,United▁States,0.021151715220764325,Austin,0.013871633507632368,Texas,0.012146408144487843,US,0.010635750341248897,Nigeria,0.010308522704331548,America,0.0068669565352823,Sierra▁Leone,0.0053479911269951564,,0.0037334995094886535
34,Sierra_Leone,Sierra,0.9490603754090695,France,0.010877783179364954,Guinea,0.0015307915717469277,,0.0005631467479642136,Sierra▁Leone,0.001340405886902199,USA,0.0009212465952961858,Senegal,0.0006481779337325899,Canada,0.0005631467479642136,Switzerland,0.0005501014675981688,,
35,India,India,0.86448740504425,Israel,0.02610526035687708,USA,0.021982833213049686,Egypt,0.009163808251447686,United▁States,0.007597063873871952,Nigeria,0.004680415276376725,China,0.0037608193288078224,,0.0037025132294323726,Moses,0.002447211811211413,US,0.002060758956142482
36,India,India,0.5872910311239836,Ireland,0.07948120751438437,USA,0.07350810044266928,United▁States,0.05462658178999683,France,0.02833989729568356,Canada,0.026210120380582076,US,0.018297612928075895,Germany,0.012188837943163293,Australia,0.010589845923368094,America,0.008643180342224634
37,India,India,0.703975039343213,USA,0.057785784969294735,United▁States,0.05428472124508608,Canada,0.015311712356861221,Germany,0.014610537998319769,US,0.011739897095391718,France,0.008589092197213865,China,0.008195769029205413,America,0.007699212485837684,Australia,0.007346639876699522
38,India,India,0.6807741494932384,USA,0.06431903972853613,United▁States,0.05676135333764867,Canada,0.015517686792120533,UK,0.01306720239293325,England,0.01306720239293325,US,0.011531765637209607,France,0.010018971610902186,America,0.009710720260561393,United▁Kingdom,0.008177246307764478
