,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,India,USA,0.3119927737987783,India,0.15935031643381023,United▁States,0.08529406784146855,US,0.05014179578123936,UK,0.04936441929168297,China,0.04784563577812432,America,0.031872064573643714,Australia,0.028126998265216793,Canada,0.027690929575763235,United▁Kingdom,0.014821886521741786
1,Sierra_Leone,Sierra,0.46121469535687193,Nigeria,0.021571297068719398,Kenya,0.015296343761554766,USA,0.014825724739673774,Sierra▁Leone,0.014036714061576961,Uganda,0.012981838341304666,Sudan,0.011103954765095287,Germany,0.010678568938243916,United,0.009277701472887036,Liberia,0.008992256607072244
2,USA,France,0.6484226945468846,Canada,0.06420253913415849,USA,0.04624335418286608,Belgium,0.04276811123516031,Switzerland,0.023252618754439663,FR,0.014103429555695875,,0.012642232547412736,FRANCE,0.010813474536163296,FRA,0.010000829091514276,Germany,0.008290978522810974
3,USA,Iran,0.14761050378539353,India,0.12237340578736945,USA,0.09987826291018129,Pakistan,0.09832979396936291,Afghanistan,0.07539206822247467,UK,0.036173509655952285,Egypt,0.03561269137026576,UAE,0.0324257244892563,Saudi▁Arabia,0.03142808982696069,Iraq,0.023723166816257774
4,India,Germany,0.19835619083654935,USA,0.17780534031609915,India,0.08398928565175505,United▁States,0.05863397102517554,UK,0.04937475390187662,US,0.043573067384282786,France,0.03845309700273942,Australia,0.03785693699102031,Canada,0.033408629635915614,Brazil,0.032380754161440733
5,France,France,0.81871037682653,Germany,0.027580401661525426,Canada,0.01672835522655327,Italy,0.016469006117502495,Belgium,0.014086687428003114,Switzerland,0.01097072319981094,Spain,0.008815223740742374,USA,0.007083231267806222,Brazil,0.006758866492342082,United▁States,0.00471844925218428
6,Sierra_Leone,Sierra,0.6425893808657229,Nigeria,0.041726273105022346,Liberia,0.02491589568924818,Sierra▁Leone,0.023774913755273575,Ghana,0.023774913755273575,Kenya,0.012431001592123493,Uganda,0.011143077809851831,Guinea,0.0057359648819586655,Togo,0.005603091398580773,Niger,0.0052226554575353695
7,Singapore,Singapore,0.44177427294085486,China,0.2989194076182864,Taiwan,0.038003337975160735,USA,0.02780383601476902,Malaysia,0.020341720973074528,Hong▁Kong,0.01292998762541359,Japan,0.011772887705454697,US,0.011772887705454697,United▁States,0.010389536934540035,Germany,0.007253065707817245
8,India,Germany,0.15314158941694603,France,0.12895814759599605,India,0.11030374896445616,USA,0.07347813760931393,Philippines,0.04894699189483612,Canada,0.03311919138384994,Brazil,0.028328345594376293,United▁States,0.026612017899251664,Spain,0.02423051803449957,US,0.022762465160346402
9,Singapore,Singapore,0.17317386049653924,USA,0.09714173172053592,France,0.07684543477169546,Ireland,0.052815043442617275,China,0.04378520889189253,United▁States,0.04049469848009043,Germany,0.03924880758700234,Australia,0.03924880758700234,US,0.037451473830859686,Canada,0.02783157211323923
10,USA,USA,0.44590390144145375,UK,0.20414969439228897,Canada,0.04147552610175278,France,0.030344143114826718,China,0.021517219483488843,Brazil,0.016757623387931166,Germany,0.016497820518096735,England,0.0150214365219152,Australia,0.013465128673582448,India,0.011162983750445681
11,Singapore,Singapore,0.30496964419618,USA,0.09747416452286199,China,0.05553910480012303,United▁States,0.049013087958429805,Australia,0.04393504809523553,US,0.038171431282772776,Malaysia,0.03530280292063632,Canada,0.027493850559207042,India,0.026647953705709482,Japan,0.02174942594032059
12,France,France,0.2533035567720057,Ghana,0.04200185222286733,Germany,0.039457088640522796,Nigeria,0.03706650448949632,USA,0.029783773085057207,Brazil,0.028419874815475282,Kenya,0.021452446994290778,Guinea,0.01938067078040087,Mali,0.018493165249612784,United▁States,0.01834925029587678
13,France,France,0.17280540787299078,Gambia,0.07668194405230305,Burkina▁Faso,0.032469178017291114,Nigeria,0.027341789170507093,Sierra▁Leone,0.026917894019717295,Mali,0.02470124804884742,Ghana,0.0223157179424397,Senegal,0.020003680280507027,Germany,0.019540295525902144,Cameroon,0.014521114616189934
14,Singapore,Singapore,0.3656013896305165,USA,0.10977343076380831,United▁States,0.06977623795204305,China,0.04576037405524004,US,0.041665294717922144,Australia,0.03454174253872549,Canada,0.027755069864421614,Malaysia,0.020306042895316803,Philippines,0.017368678906613314,United▁Kingdom,0.01462589402731282
15,Singapore,France,0.29917404946743625,Singapore,0.23299698399988256,Canada,0.06780597989281531,Switzerland,0.02916298855524769,USA,0.026553203248360375,Belgium,0.02343311962037725,United▁States,0.017966796041852195,Brazil,0.017414015840821178,Australia,0.011069021935045435,Philippines,0.010897412656186942
16,USA,USA,0.2795518191620406,UK,0.17222687957710486,France,0.07068176896341193,Germany,0.05252623057989163,Canada,0.042206011981739566,China,0.02992854403227844,Australia,0.021057360677930306,Brazil,0.019323320352572858,India,0.01705277035879542,Japan,0.01528600455670383
17,France,USA,0.23196149159397667,United▁States,0.14515779228354037,France,0.13851053301432503,UK,0.06856767777056759,US,0.062431581065869234,America,0.03394346186529949,Germany,0.029490590730255853,United▁Kingdom,0.02770384616208835,Canada,0.023696355363185942,England,0.021915546135191966
18,France,France,0.25260954515904405,Nigeria,0.045290395803675644,Ghana,0.040598048414627774,Germany,0.03527219571751646,Kenya,0.024623961087969614,Mali,0.023866361450912428,Brazil,0.022773441188890707,USA,0.022245894991948824,Guinea,0.019631933425617,Niger,0.01902792233313502
19,Singapore,Germany,0.30889303642921373,Singapore,0.15054244282348075,Netherlands,0.036320050252559556,Sweden,0.033069782080799,China,0.03155540650364682,Switzerland,0.031066185271097585,Norway,0.029643561071915132,USA,0.02308642857583252,Philippines,0.01913932152415723,France,0.018550466506541623
20,Singapore,Singapore,0.22060886587341558,France,0.16140089415718428,USA,0.05665704250595627,US,0.04145117778725182,,0.04017585911959207,China,0.034905391301396436,United▁States,0.027612437239112133,Germany,0.0251414102091675,sing,0.01755153298777433,Canada,0.017279421690446717
21,France,France,0.2215044375860906,Germany,0.09526786012695414,USA,0.09379086885611596,United▁States,0.057782878052212376,UK,0.043616804670711336,England,0.04097419606585005,Canada,0.03971355258297174,United▁Kingdom,0.029512606301628275,Spain,0.02860459886355411,Italy,0.027294698912977998
22,Sierra_Leone,Sierra,0.5902921490577709,India,0.031776992531606804,Nigeria,0.01388233991488614,Ghana,0.0110679663611872,Niger,0.008289523782088188,Sierra▁Leone,0.007430681094028153,Kenya,0.0068722565912000275,Uganda,0.006818776266115861,Guinea,0.0059242554852891914,Germany,0.005741985305871066
23,France,Spain,0.41657747060821737,Mexico,0.11388594306961894,France,0.10208669958478697,Argentina,0.055503575836955414,Chile,0.03212300525865054,Brazil,0.03162498422304746,Germany,0.021735512598434162,Colombia,0.0213985347096446,Italy,0.017194205683068325,Portugal,0.014706983487775221
24,Sierra_Leone,Sierra,0.5246778757767816,Nigeria,0.02234347618411574,United,0.01726570018384732,Sierra▁Leone,0.015476873618300191,Kenya,0.014202377570335305,Togo,0.013658293029843158,Liberia,0.011682557122071884,Ghana,0.010889340610615753,USA,0.010637089307060563,Uganda,0.009169744150059535
25,USA,France,0.6730818758253979,Canada,0.08828912589063001,Belgium,0.03567203150212532,FR,0.03148045730952571,USA,0.027781406067603022,Switzerland,0.012719254534673013,UK,0.012327924212769032,FRANCE,0.012136797463143816,,0.010061758498404237,Germany,0.007361339772119235
26,Singapore,India,0.5865277824638501,Singapore,0.2333046328880187,USA,0.02658826722994247,United▁States,0.012364695507545483,Canada,0.00849812265785091,US,0.008236662910645542,Australia,0.007983247434176317,China,0.006722568342352241,Philippines,0.005573204904767755,Nepal,0.0052355414892749615
27,USA,USA,0.17948611157988106,UK,0.11231952518326341,Brazil,0.059188230494578074,France,0.05389149713706304,India,0.02976171133689646,Canada,0.029300298770358033,China,0.021774133158271904,Germany,0.02160468550970455,,0.01777152954296252,Ghana,0.015561271213075007
28,India,Jordan,0.20347006215271907,USA,0.15846264373612504,India,0.09916337674853977,United▁States,0.05391419277924581,Israel,0.027970314745618997,UK,0.026275679043038867,Saudi▁Arabia,0.02507242809573459,Egypt,0.02247477929129286,Canada,0.022126340134760763,Iraq,0.017503375711415876
29,USA,USA,0.4824379652100326,UK,0.10764647327145603,France,0.1059775693919464,Canada,0.06133511161293202,Germany,0.022563926584353473,Australia,0.022214105327147612,India,0.01265721568217241,Brazil,0.01065844421695239,China,0.009260216812025865,England,0.008431523355975138
30,Singapore,Singapore,0.6496714660215449,India,0.08521835102188201,Sri▁Lanka,0.022580615076331273,Thailand,0.009267063545893392,Philippines,0.008705600548934822,Japan,0.00857063272241866,Malaysia,0.007563556830724645,Spain,0.007446294750936332,Germany,0.007217196346314244,United▁States,0.007217196346314244
31,Sierra_Leone,Sierra,0.3781501403935621,France,0.024555017062432825,Nigeria,0.017686315312415157,USA,0.01573053447179979,United,0.013774116214956705,Canada,0.013350331211075544,Kenya,0.011154619246997849,Ghana,0.011154619246997849,Sierra▁Leone,0.010981682904821334,China,0.010727292494324817
32,USA,UK,0.2387414765555838,USA,0.22079977125791608,Germany,0.15903610921741868,France,0.08250684655418233,Canada,0.030352572603170536,India,0.019597093774532663,Australia,0.01899415458542652,England,0.013896420353326564,Japan,0.013468872446697606,Brazil,0.01305447880626203
33,Singapore,Singapore,0.22253982869119865,Italy,0.11190003988265325,France,0.10512035919511338,China,0.037481818362355986,USA,0.035210909787599214,United▁States,0.029650558797687795,Philippines,0.029190869491543002,Germany,0.02037851117181216,United▁Kingdom,0.02037851117181216,Australia,0.01884704187236365
34,France,France,0.8298245953212784,Germany,0.018915173618571864,Canada,0.016179001512479065,Belgium,0.015198765364101814,Italy,0.01260021904723214,USA,0.008934893226457775,United▁States,0.007642419171241399,Switzerland,0.007068082300623379,Spain,0.005859646036912295,Brazil,0.004563496922068549
35,France,India,0.8562692729800446,France,0.025456212983934006,USA,0.018624163272840548,United▁States,0.016435766401511565,Germany,0.00664064992060949,UK,0.0065376961862402905,US,0.005952640117126518,United▁Kingdom,0.003667315189331457,Canada,0.003667315189331457,Japan,0.00323639429538645
36,USA,USA,0.11454949423870259,Nigeria,0.07281208860533389,UK,0.06840062716658289,Brazil,0.055826964849174605,France,0.050042967864824296,Italy,0.04021065433378258,Kenya,0.03661221740878001,Germany,0.03604459758981131,Canada,0.033860765819723866,India,0.028962647822951697
37,USA,USA,0.27087088664298264,UK,0.2280961554085761,France,0.11833472653789671,Germany,0.0695653970088556,Canada,0.0470703021378696,Brazil,0.026404046483521543,Spain,0.018432995166566695,Australia,0.016267057261482785,England,0.016267057261482785,Italy,0.012668796933510177
38,France,India,0.6153317068932354,France,0.0819850147166317,Sri▁Lanka,0.02923265724711032,Nepal,0.02385899948852656,Germany,0.017730502885243117,USA,0.014930580365084038,United▁States,0.014699103171848145,Singapore,0.011447673060682707,Japan,0.01026162781104926,UK,0.009791713660998014
39,India,USA,0.16319305569521161,India,0.14858896811575914,United▁States,0.09154300764297814,France,0.06697429511238469,Germany,0.052981028187199034,Canada,0.04749188672857882,China,0.032134617978635455,Australia,0.028358700831885044,US,0.026640534005892193,UK,0.02502646564546174
40,India,India,0.9197577248697648,USA,0.03147238239946251,US,0.0060066092944243464,United▁States,0.004902451627028051,UK,0.0038781584397731593,Canada,0.0029734872195505972,America,0.0018900634728738562,Australia,0.0018607607547583799,Nepal,0.0015187086661592852,China,0.0013402556938139514
41,Singapore,Singapore,0.34737607451973224,USA,0.06527003058987314,China,0.06131551934636199,United▁States,0.05244594296433859,US,0.040211699326771703,France,0.03493652981301369,Sweden,0.03333666963340894,Canada,0.02220700947842835,Germany,0.02220700947842835,Malaysia,0.017843833410044113
42,France,Egypt,0.28506378562930057,France,0.19288380567177624,Morocco,0.05701634405001556,Germany,0.04440437339402075,Algeria,0.042370949090759474,USA,0.03458216077105842,Saudi▁Arabia,0.02130545119143299,Canada,0.020329803548346546,India,0.016854003126773508,Iraq,0.013755836446276676
43,Sierra_Leone,Sierra,0.7590210395203246,Nigeria,0.01730126183805816,Sierra▁Leone,0.016768957971823248,Liberia,0.015268309982891389,France,0.008301236150099249,Kenya,0.008108938221798557,Ghana,0.007325815190085859,Uganda,0.005317971520266952,Togo,0.0042731101627700285,India,0.003771006483047306
44,Sierra_Leone,Sierra,0.5899637260100771,Nigeria,0.0726977949792919,Niger,0.03684144939824454,Sudan,0.019262998000324192,Sierra▁Leone,0.017132865083639152,Chad,0.014203644032193138,Guinea,0.013659510974309128,Ghana,0.010555251975879025,Senegal,0.010391607961947198,Mali,0.01023050101329405
45,India,USA,0.3009152719845143,India,0.21674113966638775,United▁States,0.10238126498137039,US,0.05833508636061035,America,0.030263844121714064,France,0.029332723525776816,Brazil,0.020800015599855264,China,0.018938629720534565,Canada,0.016713278082811825,UK,0.015457255399840924
46,India,USA,0.22475471254823579,India,0.15207664559448658,United▁States,0.08801521005601569,UK,0.07072220810799303,Australia,0.05014955500500216,US,0.04937205821983137,Canada,0.03556135950053141,China,0.026017246397178923,America,0.022253730135232866,England,0.019948114769244803
47,USA,UK,0.30218468625291645,USA,0.13409365765763545,Russia,0.07760745510778233,Canada,0.06742652547588399,France,0.05858118052493817,Germany,0.043533836815657215,Brazil,0.0281075575897814,China,0.021216697583953694,Australia,0.018433386305114458,Spain,0.01731656388691155
48,USA,UK,0.23527984537921798,USA,0.22102496016597217,France,0.07064382879044212,Canada,0.0684703466743533,Germany,0.034971231147577324,Australia,0.025988412257638895,Russia,0.023295862187393435,China,0.021884437248339904,Brazil,0.020882275903350338,Italy,0.019312948086466913
49,Sierra_Leone,India,0.4356416143861552,Sierra,0.1190977757580522,Nepal,0.018122102044758608,Bangladesh,0.01676020456907796,Bhutan,0.01090607311698992,Sri,0.010488268017030794,China,0.010488268017030794,Kenya,0.0091838343331043,Uganda,0.008427560110585245,Sri▁Lanka,0.008168271344726353
50,France,India,0.8088009797055126,France,0.08008214884854643,USA,0.013700436998162091,Germany,0.011903145941383735,United▁States,0.007685248636910552,UK,0.00571119183753201,England,0.0036302544055750196,Canada,0.0032541390177691794,United▁Kingdom,0.002697776000337617,Bangladesh,0.002655950860171085
51,Sierra_Leone,Sierra,0.27038029246891465,India,0.18011210428830787,Nepal,0.020526250472450023,Sri▁Lanka,0.014784503595103332,Sri,0.014218118156812497,Uganda,0.010483782903555717,Afghanistan,0.00954559296014634,Kenya,0.009471308566387894,Bangladesh,0.009251905939757256,USA,0.00849002612816398
52,Singapore,Singapore,0.4021693557350727,China,0.043055857435051706,USA,0.041084186173545374,Australia,0.03920280431271616,United▁States,0.035141166669770255,Malaysia,0.030057832707119325,India,0.021314195003287358,Philippines,0.020983749038374883,Germany,0.020983749038374883,Canada,0.01910592092003866
53,Sierra_Leone,Sierra,0.9185875919889039,Sierra▁Leone,0.01847811865829598,Guinea,0.01508140091030545,Liberia,0.007465834826536647,Mali,0.0025600447961292823,Nigeria,0.0024812804981567175,Gambia,0.002442811809646293,Niger,0.0021389974903686148,Guin,0.00199376489192336,Senegal,0.0016146000142853306
54,Sierra_Leone,Sierra,0.2616622144660887,France,0.06987737458255804,Togo,0.026730478044648884,Guinea,0.021816780342758326,Niger,0.018954747240967663,Congo,0.017945989715075366,Mali,0.016990921564085156,Senegal,0.014420007843254772,Belgium,0.01312956655246483,Cote,0.01312956655246483
55,Sierra_Leone,Sierra,0.21381130004331003,Germany,0.13590673120855368,Norway,0.017144134648488876,Ghana,0.014779167859055635,Namibia,0.013775699196425581,Togo,0.013562126776139253,Uganda,0.013456585468244932,Sweden,0.011968534872402495,Nigeria,0.011691284060698979,Kenya,0.010237230377825412
56,India,India,0.3151486367146013,USA,0.16868690948366977,United▁States,0.04684266857888577,US,0.04133850992966344,UK,0.03321642589115396,France,0.03072017206471776,Canada,0.02931339296387413,Kenya,0.027537384265647988,Nigeria,0.022126909877798116,Philippines,0.020464046340623508
57,Sierra_Leone,India,0.20705628606172105,Sierra,0.20384617588733697,Uganda,0.034333293880046085,Nepal,0.032506109309898154,Kenya,0.02131802694957283,USA,0.016091690977806487,Sudan,0.013656840756753589,United,0.011500212925239242,Tanzania,0.010471063026506923,Niger,0.01022850111275156
58,Singapore,Singapore,0.3277198031404402,USA,0.08157590892184476,Australia,0.06453185543397277,United▁States,0.0423210240306572,US,0.033478685566109875,Canada,0.030482690093327235,China,0.030482690093327235,Japan,0.02195585803057897,UK,0.02161546400250158,Brazil,0.018779840573480873
59,India,India,0.9091901073916352,USA,0.024998211030049428,Brazil,0.005665693262969658,US,0.004552512432394152,Nepal,0.0038939702365572855,United▁States,0.0032790516959647228,Japan,0.0028937529651036323,Germany,0.00276123836896999,Singapore,0.002253657075237909,Sri▁Lanka,0.0021171148955805037
60,Singapore,Singapore,0.3401139666061912,France,0.12709130400743224,USA,0.04257025446315319,Germany,0.032639746298402085,United▁States,0.027485422063795253,Philippines,0.02314504589338511,Switzerland,0.0227862152163643,Australia,0.021742758451663364,Canada,0.02107380410054355,China,0.019490082712338493
61,France,India,0.14852903878530777,France,0.12122586839964072,Pakistan,0.0659093614299087,Afghanistan,0.047472732164080475,Germany,0.04601214974482089,USA,0.04124502446608646,Saudi▁Arabia,0.03935627728360196,Egypt,0.031133377852007572,Iraq,0.027475109521392527,Canada,0.02010121953287146
62,Singapore,Singapore,0.3819418895547504,USA,0.06333217760951983,China,0.040890327149056015,Malaysia,0.036653852363829814,United▁States,0.03234691117887286,Australia,0.03234691117887286,Japan,0.030387110903100416,US,0.026816531250480703,Indonesia,0.02366550576661223,Germany,0.021213622266281946
63,Singapore,Singapore,0.31435670956592543,USA,0.061900498913189723,China,0.05131731602892851,Australia,0.04188397265896149,United▁States,0.03418470219112241,US,0.02970018395750855,Malaysia,0.028786405361678438,India,0.023130526523472437,France,0.02172911876590358,UK,0.02139224000429943
64,Singapore,Singapore,0.27204670029878664,Nigeria,0.04304403341447104,Denmark,0.038584422182941676,India,0.03513151618543003,China,0.031246617321900153,Japan,0.028450368829666943,Germany,0.025702766309852517,United▁States,0.025502745795546712,USA,0.024911975325487962,Brazil,0.02303981081464892
65,USA,Mexico,0.19972888141414394,Spain,0.1790358121973576,USA,0.11559419454314213,Chile,0.049716443562110156,Argentina,0.049716443562110156,UK,0.0387192051776967,Brazil,0.034707671206805034,Colombia,0.02968704438846306,Venezuela,0.021719505651832276,,0.021382775927747705
66,France,India,0.654871406010985,France,0.0914405285948014,United▁States,0.04186452460873135,USA,0.035808625504024964,Germany,0.022061054193779246,Nepal,0.010420904119348208,US,0.009943696176107833,UK,0.009341238080484107,Canada,0.009196415607455844,England,0.006521235163510722
67,India,China,0.2854228641692864,India,0.17043377665359752,Singapore,0.15277585000723395,Malaysia,0.08569948485427535,Vietnam,0.03408889987892661,Indonesia,0.033560400472237344,Philippines,0.03304009468939229,USA,0.020675962932443264,Thailand,0.019729141655469212,Hong▁Kong,0.012346184314775854
68,Singapore,Singapore,0.30857236489717405,India,0.17858798376133386,Indonesia,0.07680973469846417,Philippines,0.03685371346475081,Germany,0.023794545791912126,Japan,0.02166518048786768,Malaysia,0.021329292997384827,USA,0.020037016462319302,Brazil,0.01942054227502949,Australia,0.016611270088722735
69,USA,USA,0.17869288588056995,UK,0.12474773909340185,Germany,0.07219845241455579,Canada,0.06889224456662837,France,0.06677265303164856,Brazil,0.06371491062724678,China,0.038045910859150545,Spain,0.023076011412768625,Australia,0.021010947490649752,Russia,0.01883409160653379
70,Sierra_Leone,China,0.6312953236664269,Sierra,0.02143363329297907,USA,0.016692530392637434,Hong,0.014277877872279564,,0.014166766545164782,Chin,0.009660895419747965,Singapore,0.006691906676426222,India,0.005461775049064466,Japan,0.005377098075529007,People's,0.004220532637432895
71,Singapore,France,0.2766171208807971,Singapore,0.19011598151139822,China,0.04515650365172428,USA,0.04515650365172428,Canada,0.038025588509360296,United▁States,0.030554418745082357,Philippines,0.0257294002056517,US,0.019727415438623188,Switzerland,0.019727415438623188,Germany,0.01377195550901393
72,France,France,0.23563747064732304,USA,0.14745816119476596,United▁States,0.13637650538002313,Jordan,0.08271653177744893,Canada,0.04291277137273326,UK,0.026437791496708416,United▁Kingdom,0.025227116879662694,Germany,0.021917698971153463,US,0.019042426864774756,Australia,0.017338326966198934
73,Sierra_Leone,Sierra,0.5653945362466903,Nigeria,0.02370411925578219,Liberia,0.01831712365703647,Sierra▁Leone,0.012297535067744558,Ghana,0.012297535067744558,Togo,0.010036955601101176,Niger,0.008927053107789799,France,0.008927053107789799,USA,0.008652396558005206,Kenya,0.007939885395184601
74,Sierra_Leone,India,0.4309862481543302,Nepal,0.05742335963150591,Sierra,0.0556566285901428,Indonesia,0.021457541802468814,Sri▁Lanka,0.02015749506510542,Sri,0.014405912070265913,United,0.010622253452016549,Ghana,0.010376189215826467,Brazil,0.008944834213113172,Singapore,0.00820824127222141
75,India,India,0.9034935679510826,USA,0.022267853089719212,US,0.0045239887563972275,United▁States,0.004249894133780847,Germany,0.003578769667064866,Japan,0.003468662499855109,Nepal,0.0033098208793590936,UK,0.003013626204968431,Canada,0.0029669042612575506,China,0.0027871486191423083
76,Sierra_Leone,Sierra,0.45116935310134015,Nigeria,0.025058617360613974,Niger,0.017222514947107283,Sudan,0.01669263386800197,USA,0.016053149106897913,Ghana,0.014616558594609192,Sierra▁Leone,0.014502811633203175,United,0.011383387279290712,Kenya,0.011206904217514396,Benin,0.010445983352779669
77,USA,UK,0.3138215463040952,USA,0.19638450554648956,India,0.05896532153329422,France,0.051229959145505655,Canada,0.04592223858418671,England,0.025360668775087903,Brazil,0.02238071164148894,Japan,0.021692129534162694,Germany,0.021024732871076337,,0.01770460013558296
78,Singapore,Singapore,0.49616054164124207,Malaysia,0.07490903771668306,Saudi▁Arabia,0.054804622742878784,Indonesia,0.028432263725245224,Philippines,0.01322223056865632,Pakistan,0.012815425301050756,China,0.012616740547593432,USA,0.012616740547593432,India,0.011221561337106502,United▁States,0.01005894257198326
79,India,India,0.910776434958992,USA,0.022099336383128342,United▁States,0.006739916796803528,US,0.005947955696857001,China,0.004351617348102796,Japan,0.0036076174927561935,Singapore,0.003183711263067345,Germany,0.002680953675149999,UK,0.002257589339736633,Brazil,0.0019010808258771291
80,Sierra_Leone,Sierra,0.34466336339237463,Sudan,0.07811587502818015,Nigeria,0.039279128705000645,Afghanistan,0.02006181589456647,Saudi▁Arabia,0.018124340277502236,Ghana,0.017159780482719208,Kenya,0.016893742745032008,Saudi,0.016893742745032008,Guinea,0.01599467415628495,Egypt,0.015624157928522722
81,France,India,0.8508867233085942,France,0.02911573953099086,USA,0.017116264361633923,United▁States,0.014640316742682138,Germany,0.006598907755381248,UK,0.0064966011733001965,US,0.005220165695001546,Japan,0.004465044334990075,Canada,0.003318139199523033,United▁Kingdom,0.0031171033082653876
82,Sierra_Leone,Sierra,0.2870690641093727,India,0.22010348636181537,Sri,0.02248498401034235,Sri▁Lanka,0.022136386644305624,Ghana,0.012224873762073742,Singapore,0.010788413229517766,USA,0.010456488649312886,Nepal,0.01037511560906287,China,0.00997765117180551,Nigeria,0.009822962028325362
83,India,USA,0.20521147488642302,India,0.14551672554905948,UK,0.11511320462703883,United▁States,0.06873723401376956,Canada,0.05188558636477908,Australia,0.04798632297249283,US,0.037960305901533146,United▁Kingdom,0.028653942198094248,England,0.02450901556807689,Ireland,0.021293801739725622
84,Singapore,Singapore,0.2781628554584283,Germany,0.11595551590296593,France,0.053924322797244545,USA,0.049098654637292745,United▁States,0.03170047401616005,Spain,0.030248803620602966,Philippines,0.028863610052372268,Switzerland,0.022479002111055194,Australia,0.020150047263289193,Brazil,0.018929217615442796
85,India,Spain,0.42644544153762626,Mexico,0.1722995337309415,Argentina,0.07645745462132958,Colombia,0.030891604173349733,Chile,0.029019976491708024,India,0.020578244744458123,USA,0.017601501289835352,Brazil,0.013080325080442394,Germany,0.012481333384802092,France,0.01034738880971807
86,Sierra_Leone,Sierra,0.1767578979599217,Mexico,0.04908389555034363,Spain,0.048701921644743094,Argentina,0.032953368557949676,Colombia,0.03244247393262751,Chile,0.026686451125682954,Venezuela,0.0224722449086606,Ecuador,0.01863014538016089,Cuba,0.016699958369126706,Guatemala,0.015935211597228636
87,Sierra_Leone,Sierra,0.8118511549431835,Sierra▁Leone,0.01645911426645028,Nigeria,0.014753854674791983,Liberia,0.012818371079373208,Kenya,0.006914992513904977,Ghana,0.005427639812887146,France,0.0051387860911010245,Uganda,0.0040969974760994236,India,0.0032664111760232167,Guinea,0.002997427385269284
88,India,India,0.5132854145258856,Pakistan,0.09796222982690125,Afghanistan,0.0652569134894569,USA,0.039580318789570544,Bangladesh,0.032304514699888646,Iraq,0.018121194731850258,Indonesia,0.014560789029256968,Saudi▁Arabia,0.013466528453199842,Iran,0.012650632739685282,China,0.012071318088935752
