,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,France,France,0.7688023740681107,India,0.15865133705071122,United▁States,0.010628976946975077,Germany,0.007420221775909016,USA,0.0068625833032504935,England,0.003241654817854481,Canada,0.0029515602996740124,Spain,0.0022279546018524866,China,0.001997125597746692,Japan,0.001997125597746692
1,Singapore,Singapore,0.8682526287141652,USA,0.010593416615066367,China,0.009495877282218037,Australia,0.009495877282218037,United▁States,0.008646094655852801,Japan,0.004700800127503919,Canada,0.004627920976602177,Malaysia,0.00448553481705305,India,0.004020807423666613,Germany,0.003897100184446887
2,USA,USA,0.66885008347652,Italy,0.0919444716069833,France,0.06029865662775761,UK,0.028483068566168,Canada,0.013666325650717234,Germany,0.01047833534696976,China,0.007201647543548797,England,0.007089996347192542,Japan,0.005696972112342192,Brazil,0.005608648746320063
3,Singapore,Singapore,0.8376339220498813,China,0.01793638242315081,USA,0.011948206550316254,United▁States,0.011224301310560627,Australia,0.009751841974645835,Malaysia,0.006395414106362234,Germany,0.005385478624100749,Canada,0.00521978486604038,France,0.00521978486604038,Hong▁Kong,0.00446471859471764
4,Sierra_Leone,Sierra,0.8257498749487449,USA,0.029152533120488964,United▁States,0.011871069534013439,US,0.006354125636824297,Ireland,0.004102531854153298,Canada,0.00407060569797496,Australia,0.003853972014399998,Nigeria,0.0032453698159726494,France,0.003220114147696408,UK,0.003195055020589971
5,Singapore,Singapore,0.7837238621267139,France,0.08931609278704815,Switzerland,0.014580451337406972,Germany,0.007804353211312077,Canada,0.00710594446276919,Australia,0.006270973978331967,United▁States,0.005534115112066558,Belgium,0.004808122532455157,USA,0.004808122532455157,Brazil,0.0035730932671881018
6,France,France,0.844652161267582,United▁States,0.02049487560148587,USA,0.01780625649880492,England,0.014761905123298264,Germany,0.012825365430245135,Canada,0.008678076339496443,Spain,0.005871880170878576,UK,0.0053464077363669085,Italy,0.005263519367231372,United▁Kingdom,0.004432327691113128
7,Singapore,Singapore,0.8867728732966549,Malaysia,0.012848331740290762,Indonesia,0.009254306190035288,Egypt,0.004371424712996804,India,0.003918519787472059,France,0.0037979596079711006,Pakistan,0.0033516875901759007,United▁States,0.0032997244904834177,USA,0.002529986526559872,Philippines,0.0024521470243191955
8,France,France,0.9609812373168305,Germany,0.007001189841013101,Canada,0.0032558556443964995,Spain,0.0026161535069455307,Belgium,0.002237714677684786,United▁States,0.0018843446824685316,USA,0.0014003260633526308,Italy,0.0013786160200164746,England,0.0011791927708722477,Switzerland,0.001073667235943614
9,India,India,0.9608487101364386,USA,0.007110459216364545,United▁States,0.003358743108439697,Canada,0.0019438913783105729,Australia,0.001422181313346644,China,0.001142754789152784,Pakistan,0.0010735187765227845,France,0.0010084775618410442,Brazil,0.0009928425664324095,Germany,0.0009326892762238616
10,USA,USA,0.8259988351766575,UK,0.056209928670214744,Canada,0.011782238311123124,Germany,0.010397788815079712,France,0.008486427898897801,England,0.0074892463347848055,China,0.004835420860109301,US,0.004613990817482761,Japan,0.0035933796617398455,,0.003171146421295895
11,India,India,0.7699615681260201,Korea,0.09487787256956304,South▁Korea,0.03490361874042617,USA,0.018976768351046936,China,0.007316197685091032,Japan,0.005971306520340407,United▁States,0.005697860486254095,Singapore,0.0037367481368766587,Canada,0.0026086706213273568,,0.0025284102639925284
12,India,India,0.5864636697314043,Germany,0.22259650145478793,China,0.020383700834052554,USA,0.016378763755485762,Switzerland,0.01024956845527423,Sweden,0.00798237193911154,Brazil,0.007044418511544125,Austria,0.006414016044658243,Japan,0.006025410457447176,United▁States,0.005840028066719114
13,USA,USA,0.8558873925693589,UK,0.0266659843058248,France,0.017487983633534192,Canada,0.016687150557478395,Germany,0.010280655222214692,Australia,0.004353103310954164,England,0.004353103310954164,US,0.00402596243094349,Brazil,0.0034435881532227466,China,0.003285894770657671
14,Sierra_Leone,Sierra,0.8390787898063894,France,0.017967318650846702,USA,0.00803548193722704,Germany,0.006065499987286316,England,0.006018297891902762,UK,0.005269797712716436,Spain,0.0046505801587196395,United▁States,0.0037661545857897685,Canada,0.0033759591519943533,United▁Kingdom,0.0031467399396778936
15,Singapore,Singapore,0.6975945028943538,USA,0.03212109829365947,United▁States,0.029707159636092027,Australia,0.02106553056060759,China,0.01719318085908883,Canada,0.013182469035719157,Malaysia,0.010928650680122685,France,0.010266517207832627,United▁Kingdom,0.00995064968015466,Russia,0.00891970472554655
16,Singapore,Singapore,0.9020133692151764,Nigeria,0.017045380522802103,Malaysia,0.008051667637714865,Indonesia,0.0036863220624427087,United▁States,0.0026551581769910923,China,0.002167076945871889,Australia,0.0020678392674191065,USA,0.0019731460131241544,Pakistan,0.001942555219612157,South▁Africa,0.0017687166550097366
17,Singapore,Singapore,0.8800662933243184,France,0.04052310287615067,Switzerland,0.0045465661369401035,Australia,0.004271103619986935,United▁States,0.0038888841005258763,Canada,0.0034859731779869436,China,0.003431928173224566,Germany,0.0033263388438249373,USA,0.0030286659827634885,Japan,0.0025108522889533903
18,France,France,0.944295236421279,Germany,0.005357856432205361,Spain,0.00430515858986214,Canada,0.00430515858986214,United▁States,0.0029130160149946254,USA,0.002570727610412078,Brazil,0.0023406741255659327,Belgium,0.002098166725778099,Italy,0.002065637665771842,England,0.001940487006265605
19,Singapore,Singapore,0.9186966440870702,Malaysia,0.013733402296695004,Indonesia,0.00943882015984179,Pakistan,0.003211396821182256,Philippines,0.002704267252495339,United▁States,0.0026210656960245137,India,0.0022071586051419733,USA,0.0021729397826681,Saudi▁Arabia,0.0019478106325507276,Australia,0.0013812045617590206
20,Singapore,Singapore,0.7692736140432357,Nigeria,0.054011483502924146,Ghana,0.018959813900750414,South▁Africa,0.01262995889011206,Malaysia,0.007196333652643484,Indonesia,0.006760329837657502,USA,0.005965970142182966,United▁States,0.005692768478644133,Brazil,0.005183324684743137,India,0.004036777323391297
21,India,India,0.7141081099215548,USA,0.053371897080258274,UK,0.02156419575762523,United▁States,0.02090073520304416,England,0.015776702641943488,Canada,0.014364851223901305,Germany,0.01287656941628098,France,0.012676936711181436,United▁Kingdom,0.01172424987255309,Australia,0.009872808237614742
22,France,France,0.9453348038506069,Germany,0.009561924736350595,United▁States,0.005534017474674109,USA,0.004112532583308031,Spain,0.003517635528532048,England,0.0026552506022995224,Canada,0.0024557053683283265,Italy,0.0017143586386714595,Belgium,0.001234806205388243,China,0.0011968152123999077
23,Singapore,Singapore,0.8989687255933654,Denmark,0.011859431456128956,France,0.0071931087849026526,Germany,0.00450133245693839,China,0.004163051980691054,United▁States,0.0033977840002155754,India,0.003242188142529156,Spain,0.0031919226744211372,Sweden,0.003045753893190848,Philippines,0.0028612209933784826
24,Sierra_Leone,Sierra,0.8400139658793104,France,0.0325708790066168,USA,0.005443138739931586,Germany,0.004619531849740695,Belgium,0.003890035831359503,Switzerland,0.0035419179305924225,Canada,0.002846011011385055,Spain,0.002472657216981178,Norway,0.002434322220053679,Italy,0.0021821123351393355
25,USA,USA,0.8636274789445809,UK,0.025674966285642076,Germany,0.015093537636347043,Canada,0.012318986389143886,France,0.009898583648645405,US,0.0056400429521605054,Brazil,0.0037570785766749574,China,0.0031147275393553137,Australia,0.003018897447481895,England,0.0027487374058760027
26,France,France,0.8196750776231055,India,0.09789622461724641,Germany,0.008964595491035217,United▁States,0.007911227753762408,USA,0.005971708008894404,England,0.005787977868809012,China,0.004234575068817949,Spain,0.0031964249595391138,Canada,0.0030500500036625155,Japan,0.0030500500036625155
