,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,Sierra_Leone,Sierra,0.701801381927738,India,0.07513417548772196,Nepal,0.006720837557186063,Sri▁Lanka,0.005977636664572454,Sierra▁Leone,0.004994502378703765,China,0.004655388115285368,Sudan,0.004373332407965682,Singapore,0.003981964471211848,USA,0.003950976577851361,Afghanistan,0.0038897223635864864
1,India,China,0.9344765299631848,India,0.026098072650735278,USA,0.013539504956009295,Japan,0.002280424717494138,Singapore,0.0018323727381050392,United▁States,0.0018039644319302554,Australia,0.0012792023315789135,Canada,0.0012206233919159271,china,0.0011288920953973836,,0.0010771963625881083
2,Singapore,Singapore,0.9574646241538975,France,0.0041007246868804215,United▁Kingdom,0.0033996201710650743,Australia,0.0032439402289936065,United▁States,0.0023365224955345567,China,0.0016568425469876127,USA,0.0014621584157869401,New▁Zealand,0.0012903502730199736,Switzerland,0.00127034524627712,Malaysia,0.001231260831950821
3,Singapore,Singapore,0.9663572382076545,China,0.019137669727956396,Shanghai,0.0011314880556330842,Australia,0.0010142593379463675,Malaysia,0.0009528084711473653,Taiwan,0.0009528084711473653,USA,0.000802345175603491,United▁States,0.0007080671322737741,Hong▁Kong,0.0006347072752789759,Indonesia,0.0003910318086780952
4,France,France,0.9190470084061718,Canada,0.009151908703470286,England,0.007469570187524569,USA,0.006695679442151658,UK,0.0058173071112509545,Germany,0.005638327387380001,United▁States,0.005550913223545623,United▁Kingdom,0.004323055565258748,Belgium,0.004190049128336696,Australia,0.003162815016348059
5,Singapore,Singapore,0.9461515481005608,United▁States,0.008578658859035481,USA,0.0052851584034649315,Australia,0.0029647051711952014,China,0.002828941436987785,United▁Kingdom,0.002345274824889978,Malaysia,0.0020060198627213765,Philippines,0.0016892380869379766,New▁Zealand,0.001315579944901338,Canada,0.0012751038052089346
6,India,India,0.9781776548274447,USA,0.003997587563285481,China,0.0018883266565495158,Nepal,0.0010759360963834826,United▁States,0.001026665395325986,UK,0.000979650963939948,Canada,0.0008249488207698334,Pakistan,0.000751124448919174,Australia,0.0007394793437085777,Japan,0.0007394793437085777
7,France,India,0.7815388378485864,France,0.12560471592044362,USA,0.01753834804698125,United▁States,0.01753834804698125,Germany,0.006156539193731856,United▁Kingdom,0.00596712239592111,England,0.005184325780139471,UK,0.004870223359743683,Nepal,0.004165722793700215,Canada,0.0024109353891216385
8,France,France,0.9820572136763728,Germany,0.001753343912984995,Belgium,0.0016215780370840292,Canada,0.0013870091968841668,Italy,0.001186371835487293,Spain,0.001063456840245919,Switzerland,0.0008282210199461637,England,0.0005604023741981628,Ireland,0.00042301390509343593,United▁States,0.00041645568236823167
9,Singapore,Singapore,0.9446170022041273,Australia,0.006465009214157949,United▁States,0.005359680887841527,USA,0.0038005828534599917,Philippines,0.0027374571374291765,Malaysia,0.0024924830874629936,China,0.0022342473997379203,Germany,0.002098881192870844,United▁Kingdom,0.0019411477803084121,France,0.0018814249417048981
