,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,France,France,0.8811947160614094,Morocco,0.01218284134098241,Egypt,0.010099930213846375,Iran,0.006419906246864983,Germany,0.004770869218039432,Lebanon,0.004210277307555989,Afghanistan,0.003955189500785246,Algeria,0.0038938699712042744,Iraq,0.003008949499339505,,0.0023251359589635595
1,India,India,0.6477930603177344,United▁States,0.07382490970841075,USA,0.06617622136798247,Canada,0.022166257597610494,America,0.012828845684903589,Germany,0.012051585217216722,US,0.011145894285516844,UK,0.010802971169482891,United▁Kingdom,0.010148452233809599,England,0.009991115065305128
2,Sierra_Leone,Sierra,0.9395316117820557,Sierra▁Leone,0.005086711956721462,Nigeria,0.0036353090966224394,Liberia,0.002498508967199897,sierra,0.0018712967520387854,Guinea,0.0017856038348019003,USA,0.0017856038348019003,Titus,0.001625810792907053,,0.0015273078965200202,Ghana,0.0011000786099359494
3,Sierra_Leone,Sierra,0.9353340563822574,Tyr,0.005432862522428881,Sierra▁Leone,0.003193815115178913,USA,0.002647765728568008,Nigeria,0.001967652411929455,sierra,0.0017776258165800548,Guinea,0.00150865143604921,,0.00150865143604921,Liberia,0.001112409811076102,France,0.001086640865557218
4,Sierra_Leone,Sierra,0.6079767635283538,India,0.16363471626245346,Munn,0.046882131142049074,Nigeria,0.010962842540195462,Kenya,0.0059140099492483635,USA,0.005867986758693779,,0.003044271426557851,Pakistan,0.0050981952459041545,France,0.003939579941328656,,
5,Singapore,Singapore,0.9468057449928257,India,0.030435022615646696,Malaysia,0.002007407332299391,Ashok,0.0009631645639973918,Sing,0.0009482320815052999,Australia,0.0008701466703145641,China,0.0008566562965968081,,0.0008368118748597708,USA,0.0007327369604025613,United▁States,0.0006671645946126438
6,India,India,0.7769652688273919,As,0.020705423075948776,Iran,0.014913560335821193,Pakistan,0.014454718321846086,Afghanistan,0.012756244146761972,Egypt,0.01179759726022897,USA,0.00904553158914979,Russia,0.005529422549886909,Saudi▁Arabia,0.004917970221252685,Indonesia,0.004729565740754062
7,USA,USA,0.4930556487368886,France,0.2680696904851617,Canada,0.04047246983572577,Belgium,0.015361616849672983,Switzerland,0.012152039136026332,,0.010640681002187064,Germany,0.008617086080577494,UK,0.00815849312468233,FRANCE,0.00547735316850321,Christ,0.004540885267246838
8,Sierra_Leone,Sierra,0.6263189096799262,India,0.21985860868846746,Nigeria,0.00988899251286079,USA,0.006587489178736843,Raj,0.004744790461192998,,0.003444348497407691,England,0.003160711849850571,Kenya,0.003136114995093454,Sierra▁Leone,0.002703500111734886,United▁States,0.002442408813980757
9,USA,USA,0.5466983705067404,India,0.3757399287817773,INDIA,0.022564937982971368,UK,0.004804352533744253,,0.0018235265387482708,US,0.0024730687413617373,Canada,0.0019411338961871976,Germany,0.0017952553801824775,india,0.0017536683340922835,,
10,Sierra_Leone,Sierra,0.6426763881853503,Iran,0.05358485127366729,Nigeria,0.03301266919002798,Afghanistan,0.02359309070994594,India,0.0200231960227026,Pakistan,0.018089450130826936,Sudan,0.014996680890327784,Saudi▁Arabia,0.009239187072710943,Mohammad,0.007423895375459396,Sierra▁Leone,0.006602949232547179
11,India,India,0.8627498182949277,Nigeria,0.009289405780699698,USA,0.008591295911763868,Philippines,0.00679627445278718,United▁States,0.006188078308045149,Italy,0.006188078308045149,,0.005634309416506138,Brazil,0.004122148827437125,France,0.004090070010761545,Africa,0.0037826963954240046
12,USA,China,0.30560000343511295,USA,0.2343116503930351,china,0.22358173871927609,,0.13991387693011464,CHINA,0.030258497936107562,CN,0.008017703774950605,usa,0.00534094214219658,UK,0.002972681978899449,US,0.0018457802143917945,Singapore,0.0016675234614319462
13,Sierra_Leone,Sierra,0.7274873587626581,Germany,0.10000514677620691,Norway,0.012132000759456016,Switzerland,0.009901850436236962,Sweden,0.007474308842243787,Austria,0.007416143309371437,,0.006544723499643764,USA,0.002973074648239421,Denmark,0.002949937997769917,France,0.002859177947083207
14,India,India,0.9821893327861009,USA,0.0020824274159459517,Prem,0.0015718986818236392,india,0.0008154902932304616,United▁States,0.0008028472880978852,,0.0003647098183416787,Canada,0.0004946198655423207,INDIA,0.0004646523628175011,America,0.00036757027289907845,,
15,France,France,0.7106270208989585,United▁States,0.045428865561764696,USA,0.03375986626360977,England,0.030262148535477266,UK,0.01864396886125439,United▁Kingdom,0.014519937548703808,Canada,0.01407320603472471,Germany,0.009522407527102235,Australia,0.00840349514781596,America,0.0077719625143257256
16,Singapore,Singapore,0.9492605638258659,China,0.0064967901431198,Victor,0.002666277302517013,Malaysia,0.0019204474980714808,,0.0017214780114182444,Australia,0.0017080813632497545,Sing,0.0015797170216782527,Hong▁Kong,0.0014496298250850615,USA,0.0014271553977730164,United▁States,0.0012792938305318156
17,Sierra_Leone,Sierra,0.8414674906547946,USA,0.02041760216982755,United▁States,0.00891978979088524,Sierra▁Leone,0.006082768150456279,UK,0.004925975766955469,Nigeria,0.004246456541677484,US,0.0040837773462571135,,0.003359223614863064,America,0.003359223614863064,England,0.0027417184086741503
18,USA,USA,0.8421060225898783,Canada,0.018897526267628018,UK,0.014717408255341142,Australia,0.009727612862145765,,0.004891350925363176,US,0.00474085987834861,China,0.004249679329420718,Germany,0.0038693770619801188,France,0.003750328845191564,Darryl,0.003606656003350455
19,USA,USA,0.493277375329525,India,0.4285668106001088,INDIA,0.019427637064783274,UK,0.00394696387165512,,0.003538035548349893,Canada,0.0033497447311283935,Nepal,0.00239395460093691,Singapore,0.0017929891499577448,Sri▁Lanka,0.0017243008142948638,US,0.0017108821989001088
20,France,France,0.9538089960551759,Germany,0.005583626765884951,United▁States,0.005497060656581766,USA,0.0030835715622557856,Canada,0.0018702806939261173,England,0.0013576781842196098,,0.0013262276029563174,Benjamin,0.001275420621352782,America,0.0010409679727463133,Belgium,0.0008562768975567418
21,Singapore,Singapore,0.9215184212933747,India,0.041773942812628966,Malaysia,0.0039467700243347725,,0.0019235020886008314,Australia,0.0015216153929397927,Sing,0.0014072641903318764,China,0.0012614634674185997,USA,0.0011666629907576905,Indonesia,0.0011307685440759216,United▁States,0.0010136143719549197
22,Singapore,Singapore,0.9004677447483292,France,0.029864314872404332,Switzerland,0.007149032433190482,Jean-Pierre,0.0070933982214158725,,0.00300353378419298,Belgium,0.0018795634144551337,Canada,0.0016587088914679815,Paris,0.001252059159451319,USA,0.0011670474631061494,Luxembourg,0.001148954069244205
23,USA,USA,0.5610511808109012,China,0.34565362587601356,,0.02175431638565319,CHINA,0.0062327145109087575,Singapore,0.0033622972776622437,UK,0.003233489691731287,Jia,0.003134005672562632,Canada,0.002853544637492079,US,0.0023108708710453327,Taiwan,0.0021372061825821733
24,France,France,0.9619036702920356,Joseph,0.0021709492368919207,Canada,0.0021372917886397064,United▁States,0.0019009466677262607,USA,0.001842460687327352,Germany,0.0015759401396530724,,0.0010498024548810565,Belgium,0.0011351071006193104,England,0.0010916218304811746,,
25,Singapore,Singapore,0.9138948550135735,France,0.022175000459343428,Switzerland,0.0066581425476899365,China,0.0035638468913595845,,0.0028413464698190233,Belgium,0.002430332426221142,Canada,0.001569140549719604,Australia,0.0013110660028139457,Sing,0.0012608398529905637,Malaysia,0.0012220478888707222
26,France,France,0.9589382851160253,Canada,0.0025105805239007367,Germany,0.0020976685439690274,,0.0015346870911174865,United▁States,0.0017526676712684938,USA,0.001558854896200153,Belgium,0.0014644086525211686,Switzerland,0.0011584425930367909,Paris,0.001140482605320027,,
27,France,France,0.9454111949727956,Germany,0.004660487709582162,,0.0017144976141874608,United▁States,0.002573765756571392,Daniel,0.002514144537036031,Canada,0.0022536645976425104,Spain,0.0018830072527553081,USA,0.0017551557534242895,England,0.0013043210032803545,,
28,USA,USA,0.9343456948770252,Canada,0.00724615885307295,UK,0.0053848880173337985,US,0.0030206484144032937,Wayne,0.0024271591881511153,America,0.0022801050468769083,China,0.002108752446612388,,0.002108752446612388,United▁States,0.002108752446612388,Australia,0.0020121856414363755
29,India,India,0.5673257445901626,France,0.22216796698235458,Canada,0.04656893573971064,USA,0.01713175405587356,Switzerland,0.016093793548995365,Belgium,0.01233953954568774,United▁States,0.006253374285968205,Germany,0.005783425786974427,,0.004434306367275106,Brazil,0.004101062981211442
30,USA,USA,0.6115106739903498,France,0.20483042469215787,Canada,0.045703840016509456,UK,0.021588965355625413,Germany,0.006584263997576457,,0.005948386815836727,Switzerland,0.005048330322493447,Australia,0.004284462297770369,US,0.004088262484626151,Belgium,0.0036361759251817617
31,Sierra_Leone,Sierra,0.7429923579173734,India,0.11217506478776046,Su,0.00865001218334157,Nepal,0.006038681717432453,USA,0.005455494300688902,United▁States,0.003691372091388523,Sri▁Lanka,0.0028302731584611465,,0.002721847096468187,Japan,0.0025972046431988246,Kenya,0.002556938717403146
32,Sierra_Leone,Sierra,0.7932886722375712,India,0.08492870848966987,Sierra▁Leone,0.006863290163951648,Sri▁Lanka,0.006056832311226649,Nirmal,0.004754062152097766,Sah,0.004396788739323696,USA,0.0030694532230485356,Nigeria,0.0027087829619686357,Bangladesh,0.0027087829619686357,Nepal,0.0025646241623707555
33,Singapore,Singapore,0.9559101878534207,India,0.02283487307738136,Malaysia,0.0014371530769531134,Australia,0.0008317603893497728,USA,0.0006895535821200286,,0.0006895535821200286,Sri▁Lanka,0.0006788630447214845,Prem,0.0006683382487429446,Thailand,0.0006327699359556731,Sing,0.0006327699359556731
34,India,India,0.8100717352254057,Low,0.08538092509859173,China,0.008586987317637554,USA,0.006792866074297038,Canada,0.004056205597663265,Australia,0.003931409271124218,United▁States,0.003469456504559484,Japan,0.0033105785239408193,Singapore,0.0027660918922529816,,0.002660124575956659
35,India,India,0.4218297101440071,USA,0.1576262464791798,United▁States,0.12275945882465851,Germany,0.06269939643399917,US,0.03202371817884009,America,0.02200955817134035,France,0.017141061138895502,Canada,0.013349471837646643,Frank,0.010895521370298812,Australia,0.0068182430498381
36,USA,USA,0.5231308222966593,France,0.2844212947042749,Canada,0.05261264925784472,Switzerland,0.014160505820845389,Belgium,0.012112122486169661,,0.007176195079930941,UK,0.006042962122952805,Germany,0.004352582336057067,FRANCE,0.004025480607928195,CANADA,0.0032855015181737007
