,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,USA,USA,0.4785007494915818,France,0.15056694118532252,UK,0.13496733378929854,Canada,0.06083454349514059,,0.012359284213318517,Germany,0.012359284213318517,Australia,0.010246206492708392,CANADA,0.009042245493057328,FRANCE,0.008764044846165098,Belgium,0.007496284807480016
1,Sierra_Leone,Sierra,0.7548731667271998,Nigeria,0.017206713455364845,Sierra▁Leone,0.015066701721835244,USA,0.012887232915706474,Kenya,0.0057186749407331,Ghana,0.005499595944139485,United▁States,0.005372197941308754,Germany,0.005046712922085105,United,0.004631124100140767,Liberia,0.004488639390840784
2,USA,USA,0.37306435057503584,France,0.19054262568480893,Germany,0.12692875266660175,UK,0.03416241032896552,Canada,0.03209261452022422,Switzerland,0.026605711915805,,0.021378290113417343,FRANCE,0.010257415694757655,FR,0.00948655873196189,FRA,0.009339483271059025
3,Singapore,Singapore,0.7914242483932518,Malaysia,0.024657576786305008,India,0.014955576315112492,Indonesia,0.010605091626960593,Pakistan,0.009071015568787814,Philippines,0.008005143142751888,Saudi▁Arabia,0.006533607414952987,United▁Kingdom,0.00633258944759351,United▁States,0.00633258944759351,USA,0.00633258944759351
4,Sierra_Leone,Sierra,0.6118596074773266,Nigeria,0.019515135747139884,Germany,0.01695504376212836,USA,0.01605271279276137,Sierra▁Leone,0.011032857397975574,Kenya,0.007762584684600066,Ghana,0.00770217577132442,Uganda,0.006797146261355917,Austria,0.006639690537800828,UK,0.006485882272153363
5,Sierra_Leone,Sierra,0.7487369739469603,Sierra▁Leone,0.012102204222982292,Nigeria,0.010680157741228083,USA,0.008125035546831581,Kenya,0.004487070788399376,Uganda,0.004053730641612388,India,0.004022184259483018,Australia,0.003633740662400736,Ghana,0.0035219422154668784,Liberia,0.003282811116982914
6,India,India,0.41644911953265906,USA,0.12700982064310284,United▁States,0.05636026626425729,Canada,0.03813526373308355,Australia,0.03696196501562499,France,0.026622704686812923,UK,0.02207099739008573,China,0.020095871809664746,Germany,0.01858564319371343,Italy,0.018013823067466118
7,USA,USA,0.4646242696731315,India,0.29998397505709284,INDIA,0.12902149994995776,UK,0.046728490647282656,,0.008377956721276399,IN,0.0048487893573718075,Canada,0.0046267471266846355,US,0.003717695759042105,Germany,0.002850456214557277,Japan,0.002363111201966261
8,Singapore,Singapore,0.7861367283758006,China,0.132407044884757,USA,0.009896002138491592,Taiwan,0.0066959699885922605,Malaysia,0.006592158596064226,United▁States,0.0052969482412759915,Hong▁Kong,0.00446047762536304,Shanghai,0.0038152486944135846,Australia,0.0034199668265446586,US,0.0031629522607686178
9,USA,USA,0.3588148235629401,Singapore,0.14497429395124578,Malaysia,0.0980945141108125,China,0.05857490974860882,Cambodia,0.04352917677038358,,0.040891877271615244,Vietnam,0.03497667614910469,Thailand,0.028547131083485063,Myanmar,0.012087612951098357,Indonesia,0.011534080853593545
10,Singapore,Singapore,0.7395705702734111,Australia,0.02570523601935888,United▁Kingdom,0.0241478344992892,United▁States,0.01685790937424679,USA,0.014646405481460137,New▁Zealand,0.012333509969565054,Malaysia,0.008745768170571868,Philippines,0.008215888863773528,UK,0.007480651938412634,Canada,0.00725049647425941
11,Sierra_Leone,Sierra,0.640557116381824,India,0.13013707937592878,Nepal,0.007574886377738768,Sierra▁Leone,0.007171758278279834,Nigeria,0.006428722572037724,Sri▁Lanka,0.005945596441245317,Kenya,0.005853418512278051,USA,0.005585370963123165,Bangladesh,0.005206138195479637,Ghana,0.004967731770083471
12,USA,India,0.3261435702869517,USA,0.28335844436862245,INDIA,0.23491240126388913,UK,0.062245589664537124,,0.010816661578404886,Canada,0.008164844520692932,Germany,0.006358787306371925,Nepal,0.006358787306371925,IN,0.0045800626820633305,CANADA,0.0030272365815023294
13,USA,France,0.3514092901247782,USA,0.319961799743813,Canada,0.04906773704068581,FRANCE,0.03881577484126329,Belgium,0.03589872329600978,Switzerland,0.02752450591603783,FR,0.01891729782011149,,0.01833527375373895,UK,0.016957356171139696,FRA,0.015682990730163035
14,France,France,0.4580490775013197,United▁States,0.0887968693309406,USA,0.08085046958393038,UK,0.0538580237357119,United▁Kingdom,0.040023884727385314,Canada,0.029282099597713898,England,0.028828122721986836,Germany,0.026248304437504207,Australia,0.01427095558837728,US,0.012594074103665271
15,Singapore,Singapore,0.8839260023390463,India,0.03374217119704142,Malaysia,0.007184121097829434,Philippines,0.004157850306478851,USA,0.0032891303135936297,Indonesia,0.003041948267040512,Pakistan,0.0027267848034589507,United▁States,0.0026019162361240137,Thailand,0.002521863689374993,Sri▁Lanka,0.0024063791430672687
16,USA,USA,0.780620067657341,UK,0.06715231807331873,Canada,0.014075890541760075,Germany,0.011134945911734067,France,0.00937656454935513,,0.009231194390191348,Brazil,0.006053965084247151,China,0.005867704160011719,Australia,0.004498924837356376,Japan,0.003908733635690082
17,Singapore,Singapore,0.7212023401072001,United▁States,0.03373107929578778,USA,0.029306069556176286,France,0.027530504560792323,Australia,0.0172281495304901,Canada,0.012604383454336308,Philippines,0.012408970601444016,China,0.010950878120037649,United▁Kingdom,0.009970887994504189,Germany,0.009221563928428904
18,USA,USA,0.8707293124814061,UK,0.049896762499633374,Canada,0.01984756085786117,Australia,0.005959319873043165,Germany,0.004225790565096961,,0.004225790565096961,US,0.0028593129231355026,Japan,0.0024456999481136795,France,0.0024077828849022294,England,0.001996122121840356
19,USA,USA,0.7350342139027467,UK,0.07508847443806228,Brazil,0.030816247818448675,,0.013674623815943776,Canada,0.01151518776245027,France,0.010322147598576402,Germany,0.010004568503710433,Spain,0.007670768754007238,Mexico,0.006459434911967542,Russia,0.0034038830008447088
20,France,France,0.43390818884966154,China,0.06551033819940337,USA,0.06251040139976666,,0.058723087636654576,United▁States,0.03911800962993842,Korea,0.03345940675053458,UK,0.028175645366081338,Canada,0.02525648527436183,US,0.01735851154901095,England,0.012899750438037823
21,India,USA,0.4233288293422815,India,0.14629852871992868,United▁States,0.127106364460976,Canada,0.04675981832723753,US,0.04532116996083466,America,0.03699006086837586,Australia,0.013607886165528245,France,0.010934243714193019,China,0.010433528239414675,UK,0.01027177137709906
22,USA,USA,0.8388583614909773,UK,0.04882741697126383,France,0.01512602454081689,Germany,0.011597525308264224,Canada,0.009919889080753379,Australia,0.005309734000113986,,0.004910701188499152,China,0.0037067917306136456,India,0.003271232220792734,Brazil,0.0030730382797090304
23,Singapore,Singapore,0.6255952646287003,Spain,0.11216305709630203,Mexico,0.046756518514480316,Philippines,0.031146556067160394,Chile,0.01641307775367283,Argentina,0.015661468201625207,USA,0.010597079465805279,Brazil,0.0102710416066453,United▁States,0.010111803866076602,Colombia,0.009499160640400166
24,USA,USA,0.7797267186405472,UK,0.07720340460662416,Canada,0.0192174468625181,Brazil,0.01384180771880123,,0.008395480767299932,France,0.008265320902354215,Germany,0.006538406995834105,Mexico,0.006047037950421704,Australia,0.004493777028608669,US,0.0034997570688287227
25,USA,USA,0.5129699935498959,France,0.14696836379738595,UK,0.06834663645518219,,0.04210714121464458,FRANCE,0.028939786717362696,Canada,0.018684930649202708,Germany,0.011511454576526378,CANADA,0.007490646356795132,FR,0.005229313930174912,usa,0.004951014919335513
26,USA,France,0.5281111654605943,USA,0.13993552799110492,Canada,0.0737408413328315,Belgium,0.03221498774542115,FR,0.02979399318412733,FRANCE,0.025484152851872506,FRA,0.019236447795734468,Switzerland,0.017514980858265004,,0.016976101549047443,UK,0.016712911489279204
27,France,France,0.9662157664873132,Canada,0.0032228376872688817,Germany,0.003172872220162965,Belgium,0.003172872220162965,Italy,0.0029806376102590837,Switzerland,0.0023950096038297904,Spain,0.0020485602734922124,United▁States,0.0009983885406019107,USA,0.0008276931714166189,Brazil,0.0007191122892927007
28,Singapore,Singapore,0.7231823696383556,Switzerland,0.033823690533116686,Germany,0.03177441671937031,France,0.02474594062268274,Australia,0.011507931120548437,Belgium,0.01115386930210014,Netherlands,0.010643096439413052,USA,0.009690649585252531,Brazil,0.009246882431819516,United▁States,0.00910352280753422
29,Sierra_Leone,Sierra,0.6824616766720856,USA,0.013305882028897922,Nigeria,0.009289002701864295,Sierra▁Leone,0.00900321013378743,Australia,0.007011707102350058,Ireland,0.006690617656885927,Canada,0.005634064936834185,United▁States,0.004856867560686794,India,0.0045626048308641965,UK,0.004286170578569695
30,USA,USA,0.4152640546224058,France,0.29910347809125876,Canada,0.07329845963125621,UK,0.06269549494442674,,0.010894845990603872,FRANCE,0.0103959346689419,Germany,0.007145014440975142,CANADA,0.0061114547156321435,FRA,0.005066573913699965,Australia,0.004759605718239743
31,USA,USA,0.8183123962256936,UK,0.08624948301502658,Canada,0.020486047852288917,Australia,0.00765507862623892,,0.006247893083551937,Germany,0.004500188569732935,England,0.0036729468647310466,France,0.0032924082908236496,Ireland,0.0030929313565151257,Japan,0.002485240163830632
32,USA,France,0.5192726546526809,USA,0.20655240366388591,Canada,0.04755106332426414,Belgium,0.025452250082542587,UK,0.018048343587412786,FRANCE,0.0169548497281614,,0.012999734218965461,FR,0.011119261920430513,Switzerland,0.009660582171000125,Germany,0.008525433843071577
33,France,India,0.6752427257953069,France,0.19046096202378082,Germany,0.01827798353074936,Nepal,0.015880187289639327,USA,0.014014216095569966,United▁States,0.012367502296491677,Brazil,0.004549749833519888,UK,0.004078369392406468,United▁Kingdom,0.003771875092424416,Canada,0.003713397589321283
34,India,India,0.35252145776980204,France,0.33637832490112085,Canada,0.058453788009322834,USA,0.044123234075707056,Germany,0.015248585305899216,Australia,0.012252582510113331,Brazil,0.01151023606320039,Belgium,0.010645228162889243,United▁States,0.010480189197474088,Switzerland,0.008553681130952036
