,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,Sierra_Leone,Sierra,0.6357510566531783,India,0.1711100755989235,Anil,0.008721093972098014,USA,0.008519070047826198,Nigeria,0.005543464606736758,France,0.0036927435289386135,,0.0033622812450176793,Canada,0.002853531030763362,United▁States,0.002831324676105651,,
1,Sierra_Leone,Sierra,0.8465966632532245,USA,0.009552942221015581,United▁States,0.0065145405942773574,Nigeria,0.004956001136149369,England,0.00480352101125849,Italy,0.004044970239036806,Tony,0.003432921654816871,Sierra▁Leone,0.003101386262584462,India,0.0030772510832101966,America,0.0029825740206756526
2,Sierra_Leone,Sierra,0.8418315343676903,France,0.032641349413688195,Canada,0.007632800924461665,Belgium,0.0048517034572030755,USA,0.0043490388713485675,Switzerland,0.0032319312590438514,Benin,0.0031818248091750757,,0.0024395897052324924,Sierra▁Leone,0.002517030595376303,,
3,Sierra_Leone,Sierra,0.8631734623409556,USA,0.010865750971491403,Sierra▁Leone,0.007015456103275861,Nigeria,0.006746698200495815,United▁States,0.005770756780547492,England,0.004494269899605006,UK,0.004494269899605006,Andrew,0.0034458762619476923,US,0.002704699267862005,United▁Kingdom,0.002580842070835908
4,USA,USA,0.602944644102004,France,0.23245585408199188,Canada,0.03794737502253734,UK,0.009445848493125745,Germany,0.007472281185289619,,0.003937615480421593,US,0.005684611755501824,Switzerland,0.005135618746761053,Belgium,0.003816467788213144,,
5,USA,USA,0.9166118485646712,France,0.006998416157362028,US,0.0054503719836131205,Germany,0.00466195020827077,United▁States,0.004114156618802564,Canada,0.003775362332521616,Franklin,0.0030335888580365045,UK,0.0029865574220762445,America,0.002849793000444907,,0.001797341916120212
6,USA,USA,0.8658428014718712,UK,0.008757874603388885,Germany,0.0074910071191530295,Canada,0.0065593449994503835,France,0.00468775247100012,,0.0026919497638282467,Greece,0.004041095224174537,US,0.003708317428110459,Australia,0.002375637328491761,,
7,USA,USA,0.6416072056772241,France,0.17268623672635935,Canada,0.020304677683925472,Italy,0.019374858796357503,UK,0.01086831078271561,Germany,0.009296158843720672,Belgium,0.006591963709002426,US,0.0054649298607514826,,0.005422401439171676,Brazil,0.004711064011453661
8,Singapore,Singapore,0.8503551364526876,France,0.024502594507614293,,0.019383147640285755,China,0.010872960402761285,United▁States,0.008336587918821973,Canada,0.006698636580316962,USA,0.005819876317412421,Australia,0.004497251849958415,Philippines,0.004062928464234825,Malaysia,0.003090912980499285
9,Sierra_Leone,Sierra,0.7175649128724816,USA,0.035725456569667156,United▁States,0.018246773418881656,US,0.01810477590158457,France,0.0132457370081758,Canada,0.008033945605948912,America,0.007666044451230321,Norway,0.005268790162065622,Sweden,0.0047229129772518984,UK,0.004686158976871427
