,Given Country,Completion 1,Probability 1,Completion 2,Probability 2,Completion 3,Probability 3,Completion 4,Probability 4,Completion 5,Probability 5,Completion 6,Probability 6,Completion 7,Probability 7,Completion 8,Probability 8,Completion 9,Probability 9,Completion 10,Probability 10
0,USA,USA,0.22892609534662361,US,0.14325828984913305,United▁States,0.09106049851903311,Canada,0.05879307668460298,UK,0.04950873429995085,,0.03565980358804769,China,0.028878189006092247,Ireland,0.026917431947408095,England,0.018791395981393025,Australia,0.015337090409496573
1,France,USA,0.2177740725179,US,0.10613459381040324,United▁States,0.10286917564869011,Germany,0.07181425842074597,Canada,0.03696681216397076,UK,0.03611047688251663,,0.030886927668303303,China,0.026009400791782274,England,0.02207389175456131,France,0.019632925741641504
2,Singapore,Brazil,0.2074550537094655,Spain,0.07998103854309743,USA,0.07631844012896215,Mexico,0.061323589432358154,US,0.04628947383965853,Portugal,0.04382599297890586,,0.035491370710990656,Argentina,0.033866102516810895,United▁States,0.03334105726306022,Colombia,0.026790292141528498
3,France,USA,0.2768347116956013,United▁States,0.1577356640134904,US,0.14817894324583036,Canada,0.05537042571780428,,0.023262860511929898,UK,0.02202483365865424,Australia,0.017836253855182303,England,0.014786773805203553,France,0.011515951018592263,China,0.011337412746532887
4,USA,Denmark,0.4763838073563199,DK,0.14303636618456406,,0.058702006404854665,dan,0.03673477693986434,Danish,0.03616525701148488,Dan,0.0324183268665663,den,0.01461208472031166,DEN,0.013726783261197967,D,0.012208853764222113,"""",0.008793707482596448
5,India,France,0.6389584488007028,,0.01099388542838371,Belgium,0.02785540398522425,Canada,0.02596409148030904,FR,0.02238244590135591,USA,0.01826801557851122,Germany,0.009551653187008444,US,0.009185735099740529,Brazil,0.00904332347697007,,
6,USA,China,0.6494365346937726,,0.008048454756086653,USA,0.04087342585319303,United▁States,0.022749487490178782,US,0.019765097253730525,china,0.008369068744823687,Canada,0.008048454756086653,CN,0.007443603829391061,Hong▁Kong,0.006568957323504445,,
7,Singapore,Afghanistan,0.11661680560239308,Indonesia,0.06490702711647064,,0.051345684600854015,Egypt,0.03756530533294971,Morocco,0.03727296980757589,Albania,0.027698919186976215,USA,0.026637790256743215,Pakistan,0.024253984033032815,Iran,0.023507767393274,Iraq,0.022256706833524435
8,India,,0.12534570656080535,US,0.07543437495697622,USA,0.06205062427317637,C,0.05144177432373475,Country,0.03508024222489204,UK,0.02487561664307242,"""",0.022649506699235062,Canada,0.021444121940438102,CA,0.01750218223693604,India,0.016186872470524038
9,USA,USA,0.20284373183563895,US,0.108574438611548,United▁States,0.07943475619231624,Canada,0.06794414753490205,Australia,0.06483275849139752,UK,0.061863850325662016,,0.02723828465895398,England,0.021716253901726813,China,0.017863303198912932,New▁Zealand,0.017586358352477096
